src_ip,dst_ip,src_port,dst_port,protocol,DFT_Real_0,DFT_Real_1,DFT_Real_2,DFT_Real_3,DFT_Real_4,DFT_Imag_0,DFT_Imag_1,DFT_Imag_2,DFT_Imag_3,DFT_Imag_4,DFT_Real_5,DFT_Real_6,DFT_Real_7,DFT_Real_8,DFT_Real_9,DFT_Imag_5,DFT_Imag_6,DFT_Imag_7,DFT_Imag_8,DFT_Imag_9,DFT_Real_10,DFT_Real_11,DFT_Real_12,DFT_Real_13,DFT_Real_14,DFT_Imag_10,DFT_Imag_11,DFT_Imag_12,DFT_Imag_13,DFT_Imag_14,DFT_Real_15,DFT_Real_16,DFT_Real_17,DFT_Real_18,DFT_Real_19,DFT_Imag_15,DFT_Imag_16,DFT_Imag_17,DFT_Imag_18,DFT_Imag_19,DFT_Real_20,DFT_Real_21,DFT_Real_22,DFT_Real_23,DFT_Real_24,DFT_Imag_20,DFT_Imag_21,DFT_Imag_22,DFT_Imag_23,DFT_Imag_24
192.168.10.22,128.131.67.19,22.0,50414.0,6.0,0.0002710024515787513,8.635483790802842e-05,-0.00013777613639830765,-0.00016389290491740334,-6.364782651264478e-05,0.0,0.00011862733753866233,0.00016303043963227724,5.024671554564714e-05,-0.00014771676245310612,0.00028216838836666794,0.00014376913705275827,7.788340250650194e-05,5.024671554564714e-05,-0.00010168552398681718,0.0,5.397390054382036e-05,0.00019116286905695589,0.00015272696812948668,0.00011930903096678112,0.0002733270327249905,0.00014383783665017992,0.00020007292429605422,0.00015272696812948668,0.00015858809153238403,0.0,-2.0721121693257244e-05,3.578926801426419e-05,-4.1405359903969665e-05,3.606457007591056e-05,9.391705195107135e-05,-4.11669413248681e-05,4.132588704427018e-05,-4.1405359903969665e-05,4.164377848307018e-05,0.0,-1.589457194000015e-07,0.0,2.6683012644432422e-05,0.0,9.383757909137083e-05,-3.579991535855124e-05,2.062320709228483e-05,2.6683012644432422e-05,-2.0782152811684834e-05,0.0,2.0485556061461113e-05,-3.572044249885214e-05,4.148483276367018e-05,-3.599574456049852e-05
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,0.08840433756510413,0.07029691324694669,0.0407580534617106,-0.0003264546394348024,-0.041000028451283775,0.0,0.04257438846011058,0.0739024983819327,0.07891140381495156,0.07393137068564806,0.08840676148732499,0.08216820608776201,0.08438167969385782,0.07891140381495156,0.08452524741490683,0.0,0.0017208333724590393,0.0016516403061006117,0.00032403071721393657,-0.0014607183263475902,0.005080997943878137,-0.0001420574767336319,0.0019583205382029223,0.00032403071721393657,-0.0018647611141204851,0.0,0.0020690641440719968,-8.863005747186738e-05,0.0044143597284952915,-0.0003084243409402453,0.004937589168548547,0.000787311045826115,0.0008307000001271538,0.0044143597284952915,0.000736981630325313,0.0,0.001934595236857467,-0.0016160747210114377,-0.0001806219418843449,0.001893338309848877,0.004993081092834429,0.0016971864009307012,-0.0009564658006032358,-0.0001806219418843449,0.001243442296981822,0.0,0.0012540071361029405,-0.0015755020796760283,-0.004469851652781175,-0.0016329713850450893
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,0.25379983584086097,-0.08324086006284398,-0.003447314103444399,-0.08333933353424072,0.00340483585993447,0.0,-0.00348048330005123,-0.14426368310661158,0.0035426616668701163,0.14433787701222578,0.25381684303283686,-0.07381421243701586,-0.12665116786956787,0.0035426616668701163,0.1232893466949463,0.0,0.03859773948014217,-0.06916110862519675,0.0833223263422648,-0.07513234151683057,0.25714466969172156,-0.04174413096474067,-0.12155694762865701,0.0833223263422648,-0.12837510307629904,0.0,0.06866981580752228,0.07222059205542963,-0.0068704883257548,-0.07208751792138046,0.34045376380284625,0.07033122189589365,0.04342094063758849,-0.006870488325754799,-0.0398966173330943,0.0,0.038687323389320516,0.06923390881412383,-0.16663142045338947,0.07507206757170846,0.3404647707939148,0.08026181886958907,0.0816742976506551,-0.16663142045338947,0.08495712280273438,0.0,-0.0016669095839056344,-0.002996215575190373,0.006859481334686274,-0.0029940819842126003
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.08839048941930135,0.07047034903880284,0.039931635061899826,0.0033691724141438747,-0.04398063818613688,0.0,-0.04466557414239609,-0.06912955212638033,-0.08293869098027547,-0.07442846297071157,0.08857415119806925,0.038855381176078736,-0.03981029987335205,-0.08293869098027547,-0.04255845149358113,0.0,-0.07400852729071773,-0.06930564220756205,-0.0035528341929117746,0.07514352566308502,0.08815799156824745,-0.0037149212846021773,-0.08013367652893066,-0.003552834192911775,0.086563507715861,0.0,-0.08331287550356395,0.00018431473027346248,0.08335485061009724,-0.00035465788091828626,0.0881850719451904,-0.044850201662930314,-0.039893676837285355,0.08335485061009724,-0.043602436780929565,0.0,-0.07030714619458703,0.06946650464345885,0.003525753815968825,-0.07481232007654338,0.0889270702997843,-0.07335239767760168,0.040583918491999306,0.003525753815968825,-0.04335915048917133,0.0,-0.038833673017930566,0.06863960048854081,-0.08409684896469116,0.07452438853281709
192.168.10.30,128.130.135.23,1883.0,39808.0,6.0,0.2520025968551635,-0.08310705353331418,-0.08332004149754842,-0.08350515365600586,0.2489987015724182,0.0,1.7051304860034945e-05,1.9133493284546414e-05,0.00018544991811116665,0.0009449055010920084,0.3353359301884969,0.00020448970760985296,2.321600914001237e-05,0.00018544991811116665,-0.16534770528475445,0.0,-9.837303683310535e-05,-1.944320810392035e-06,0.00017182032267252498,-0.28828043747030363,0.33518391847610474,-3.7392414183652514e-06,-6.608168284098754e-05,0.00017182032267252498,-0.16690832376480105,0.0,-0.00011143254655373051,0.00011056819050945884,-3.343820571899168e-05,0.287467177973816,0.33515650033950806,-8.269935415320488e-05,4.900495211283755e-05,-3.343820571899168e-05,0.33242174983024597,0.0,-8.092472711640258e-05,0.00013625731413700323,-0.00014440218607584998,0.0008370042993047631,0.33515650033950806,-0.00011208210513144285,0.0001425047715505001,-0.00014440218607584998,-0.16548600792884827,0.0,-2.873319240052562e-05,2.568912362754439e-05,3.343820571899168e-05,-0.28830418227312077
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.25141668319702143,-0.08330428159849501,-0.08324565490086873,-0.08328348398208618,0.24929165840148929,0.0,7.494497044907171e-05,0.00015186349975668378,6.0657660166416696e-05,0.0010929491847433122,0.3347500165303548,6.263202561853317e-05,0.00017535686492920009,6.0657660166416696e-05,-0.1653659741083781,0.0,5.037838087560854e-05,0.0,-4.984935124715002e-05,-0.28860816736831696,0.3347250819206238,5.783611025340621e-05,7.521112759908329e-05,-4.984935124715002e-05,-0.167246550321579,0.0,2.4780249696055217e-05,-0.0001302694942961581,-3.5723050435383344e-05,0.28753681218903415,0.33472484350204457,6.227118903732025e-05,-7.533033688863328e-05,-3.5723050435383344e-05,0.33263757824897766,0.0,-7.338520088247684e-06,-0.0001300630177499233,5.008776982625002e-05,0.0010715616558290213,0.3347248435020447,5.0259171586058534e-05,-0.00015030304590861658,5.008776982625002e-05,-0.16539078950881958,0.0,-3.749093934126503e-05,2.0647654623478917e-07,3.5723050435383344e-05,-0.2886083738448632
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,0.32273815075556433,-0.08328639469494073,-0.08334991335868835,-0.08319282531738281,0.21363092462221783,0.0,1.3716776691734191e-05,-1.791184038598426e-05,-4.2974948883056925e-05,-0.060455799340198166,0.4060714840888977,4.7508441612911556e-05,-2.3802121480304687e-05,-4.2974948883056925e-05,-0.20083838701248172,0.0,-1.1590242123220667e-05,5.4028029598457366e-06,-0.00014050801595051656,-0.22695069173540328,0.4060221513112386,-7.3750424226419625e-06,-3.188848495483e-05,-0.00014050801595051656,-0.09610120455423993,0.0,-9.125276091631536e-06,6.603808203785278e-05,9.230772654214858e-05,0.28744921451429345,0.4060697555541992,3.0276871594008894e-05,6.504853566487231e-05,9.230772654214858e-05,0.2969651222229004,0.0,-2.8017321180887034e-05,1.9408795346190537e-05,9.290377298989995e-05,-0.06053974926262201,0.4060697555541992,1.2211879357087625e-05,4.9332777659090356e-05,9.290377298989995e-05,-0.2009115219116211,0.0,-3.940214768564041e-05,-4.662928669166225e-05,-9.230772654214858e-05,-0.22690946525167147
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.42288345098495483,-0.08335325832004511,-0.08337108294169107,-0.08333333333333333,-0.08329558372497559,0.0,8.682409922282089e-05,-9.669984915398425e-06,-6.709496180215835e-05,-9.669984915392687e-06,0.5062167843182881,2.6156504948929215e-05,-2.7249256769834584e-05,-6.709496180215835e-05,-2.724925676981608e-05,0.0,8.515436894356078e-05,2.7857127363029033e-05,0.0,-2.785712736302626e-05,0.5062090357144673,5.851889447909247e-05,6.626049677549428e-06,0.0,-6.626049677530924e-06,0.0,6.454189618429168e-05,4.42376000311014e-05,7.484356562295841e-05,4.423760003109359e-05,0.5062090357144673,8.294979731242086e-05,4.162391026814778e-05,7.484356562295841e-05,4.162391026814778e-05,0.0,2.6635474464468306e-05,1.6380472668072372e-05,0.0,-1.6380472668067327e-05,0.5061376094818115,2.3297436966984248e-05,-7.152557372861837e-07,0.0,7.152557373046875e-07,0.0,1.7305215199791663e-05,3.3999804613549234e-05,-3.4173329671167577e-06,3.399980461355151e-05
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.9166666666666666,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,0.29353590806325275,-0.07292943862431224,0.08682315548261005,0.00477782885233562,-0.09162009755770364,0.0,-0.08158999673565294,-0.06634000236759346,-0.044718583424886084,-0.07466582496698886,0.2947259942690531,-0.10292310001330236,-0.013445506493250528,-0.044718583424886084,-0.019447495539983112,0.0,-0.03478933365850895,-0.10939170435537977,-0.005967915058135986,0.11564759957875784,0.2933453321456909,-0.10772437454989549,-0.10214907924334207,-0.005967915058135986,0.1105678379535675,0.0,0.02202343433933053,-0.041856013514911646,0.046099245548248305,-0.03978608613889434,0.2933669884999593,-0.08226157284438429,-0.08731208244959512,0.046099245548248305,-0.08975050846735638,0.0,0.07292421271425234,0.06751693588751836,0.005946258703867601,-0.07588026839281328,0.3766758243242899,0.0373690627022027,0.056469758351643876,0.0059462587038676,-0.06249340375264485,0.0,0.06263058927154949,0.03722538121885255,-0.12940808137257892,0.043518786348130174
