src_ip,dst_ip,src_port,dst_port,protocol,tcp_window0,tcp_window1,tcp_window2,tcp_window3,tcp_window4,tcp_window5,tcp_window6,tcp_window7,tcp_window8,tcp_window9,tcp_window10,tcp_window11,tcp_window12,tcp_window13,tcp_window14,tcp_window15
128.131.67.19,192.168.10.22,50414.0,22.0,6.0,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,0.5461333333333334,32768.0
194.45.33.29,192.168.10.2,4500.0,4500.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.23,128.130.57.3,39962.0,3000.0,6.0,0.00835,0.008433333333333333,0.008433333333333333,0.00835,0.008433333333333333,0.00835,0.008433333333333333,0.00835,0.00835,0.008433333333333333,0.00835,0.008433333333333333,0.008433333333333333,0.00835,0.008433333333333333,501.0
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,0.022066666666666665,0.1646,0.1646,0.022066666666666665,0.1646,0.1646,0.022066666666666665,0.1646,0.1646,0.022066666666666665,0.1646,0.022066666666666665,0.1646,0.1646,0.022066666666666665,9876.0
128.130.135.23,192.168.10.30,39808.0,1883.0,6.0,0.025616666666666666,0.003916666666666666,0.025616666666666666,0.025616666666666666,0.003916666666666666,0.025616666666666666,0.025616666666666666,0.003916666666666666,0.025616666666666666,0.025616666666666666,0.003916666666666666,0.025616666666666666,0.025616666666666666,0.003916666666666666,0.025616666666666666,1537.0
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,0.3117333333333333,0.16345,0.3117333333333333,0.3117333333333333,0.16345,0.3117333333333333,0.3117333333333333,0.16345,0.3117333333333333,0.3117333333333333,0.16345,0.3117333333333333,0.3117333333333333,0.16345,0.3117333333333333,18704.0
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65169.0
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,0.0042,0.00835,0.0042,0.00835,0.0042,0.00835,0.0042,0.00835,0.0042,0.00835,0.0042,0.00835,0.0042,0.00835,0.0042,501.0
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,0.013983333333333334,0.00021666666666666666,0.00021666666666666666,0.014366666666666666,0.014366666666666666,0.00021666666666666666,0.014366666666666666,0.014366666666666666,0.00023333333333333333,0.00023333333333333333,0.01475,0.01475,0.00023333333333333333,0.00023333333333333333,0.015116666666666667,14.0
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.017116666666666665,0.11728333333333334,0.0171,0.0171,0.11553333333333334,0.017083333333333332,0.017083333333333332,0.11378333333333333,0.017083333333333332,0.017083333333333332,0.13653333333333334,0.017066666666666667,0.017066666666666667,0.13478333333333334,0.01705,1023.0
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,296.0
128.130.135.23,192.168.10.30,34240.0,1883.0,6.0,0.0021,0.0037833333333333334,0.0021,0.0021,0.0037833333333333334,0.0021,0.0021,0.0037833333333333334,0.0021,0.0021,0.0037833333333333334,0.0021,0.0021,0.0037833333333333334,0.0021,126.0
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,296.0
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,0.004833333333333334,0.00835,0.004833333333333334,0.004833333333333334,0.00835,0.004833333333333334,0.004833333333333334,0.00835,0.004833333333333334,0.004833333333333334,0.00835,0.004833333333333334,0.004833333333333334,0.00835,0.004833333333333334,290.0
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,296.0
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,296.0
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,0.004933333333333333,0.00835,0.004933333333333333,296.0
128.130.2.3,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00445,0.00445,0.00445,0.00445,0.00835,0.00835,0.00835,267.0
34.117.65.55,192.168.10.23,443.0,58196.0,6.0,0.00445,0.00835,0.00835,0.00445,0.00445,0.00835,0.00445,0.00445,0.00835,0.00445,0.00445,0.00835,0.00445,0.00445,0.00835,501.0
192.168.10.32,192.168.10.255,138.0,138.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.16.47.3,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.196.145.42,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.150,192.168.10.255,138.0,138.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.32,51.104.136.2,26671.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.2730666666666667,0.2730666666666667,0.2730666666666667,0.01715,0.01715,0.27305,0.27305,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,16382.0
192.168.10.32,51.104.136.2,26672.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.2730666666666667,0.2730666666666667,0.2730666666666667,0.01715,0.01715,0.27305,0.27305,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,16383.0
185.144.161.170,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.41.116.149,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.159.200.1,192.168.10.22,123.0,123.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.32,52.184.214.53,26674.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2051.0
192.168.10.135,35.159.42.141,42628.0,443.0,6.0,0.4866666666666667,0.44745,0.0038166666666666666,0.0038166666666666666,0.00011666666666666667,0.00011666666666666667,0.00011666666666666667,0.00011666666666666667,0.0038166666666666666,0.0038166666666666666,0.00011666666666666667,0.0038166666666666666,0.00011666666666666667,0.004183333333333333,0.00011666666666666667,7.0
192.168.10.32,52.182.143.209,26675.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,1028.0
192.168.10.23,34.117.65.55,58202.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.004366666666666666,0.00835,0.00835,0.00445,0.00835,0.00445,501.0
192.168.10.23,34.117.65.55,58204.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.00445,0.00445,0.00835,0.00835,0.00445,0.00445,501.0
192.168.10.32,51.104.136.2,26676.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.2730666666666667,0.2730666666666667,0.2730666666666667,0.01715,0.01715,0.27305,0.27305,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,16383.0
192.168.10.32,52.184.214.53,26677.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2050.0
192.168.10.32,40.70.229.150,26678.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2050.0
192.168.10.32,52.184.213.187,26679.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2050.0
192.168.10.32,52.179.216.235,26680.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2048.0
192.168.10.23,142.251.36.74,60212.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00445,0.00445,0.00445,0.00445,0.00835,0.00835,0.00835,267.0
192.168.10.32,52.184.216.246,26681.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2051.0
192.168.10.32,52.184.214.53,26682.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2050.0
192.168.10.135,3.127.6.122,48844.0,443.0,6.0,0.4866666666666667,0.44745,0.0038166666666666666,0.0038166666666666666,0.00011666666666666667,0.00011666666666666667,0.00011666666666666667,0.00011666666666666667,0.0038166666666666666,0.0038166666666666666,0.00011666666666666667,0.0038166666666666666,0.00011666666666666667,0.004183333333333333,0.00011666666666666667,7.0
192.168.10.23,34.149.100.209,43174.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.00835,0.004366666666666666,0.00835,0.00835,0.004533333333333334,0.004533333333333334,501.0
192.168.10.32,20.189.173.15,26683.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,1028.0
192.168.10.23,35.201.103.21,40360.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.00835,0.004366666666666666,0.00835,0.00835,0.00445,0.00835,272.0
192.168.10.23,34.98.75.36,58348.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.00835,0.004366666666666666,0.00835,0.00835,0.004533333333333334,0.004533333333333334,501.0
192.168.10.23,34.160.144.191,50052.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00835,0.00835,0.00835,0.00835,0.004366666666666666,0.00835,0.00835,0.004533333333333334,0.004533333333333334,501.0
192.168.10.23,35.244.181.201,42650.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.00435,0.00435,0.00835,0.00835,0.00835,0.00835,0.00435,0.00835,0.00835,0.004416666666666667,0.00835,269.0
192.168.10.23,54.214.185.83,47796.0,443.0,6.0,1.0,0.44745,0.008366666666666666,0.008366666666666666,0.0019833333333333335,0.0019833333333333335,0.0019833333333333335,0.0019833333333333335,0.00815,0.00835,0.00835,0.00315,0.00315,0.00835,0.00315,501.0
192.168.10.32,52.179.216.235,26685.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2051.0
192.168.10.23,142.251.36.106,48836.0,443.0,6.0,1.0,1.0,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.008366666666666666,0.004366666666666666,0.004366666666666666,0.00445,0.00445,0.00445,0.00835,0.00835,0.00445,0.00835,501.0
192.168.10.32,52.184.216.246,26686.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2051.0
192.168.10.32,52.184.214.53,26687.0,443.0,6.0,1.0,1.0,0.01715,0.01715,0.0342,0.0342,0.01715,0.01715,0.034183333333333336,0.034183333333333336,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,0.017133333333333334,2051.0
