src_ip,dst_ip,src_port,dst_port,protocol,packet_size0,packet_size1,packet_size2,packet_size3,packet_size4,packet_size5,packet_size6,packet_size7,packet_size8,packet_size9,packet_size10,packet_size11,packet_size12,packet_size13,packet_size14,packet_size15
192.168.10.135,131.130.37.53,35042.0,22.0,6.0,162.0,70.0,162.0,106.0,70.0,142.0,70.0,106.0,70.0,122.0,70.0,114.0,70.0,182.0,70.0,142.0
192.168.10.2,194.45.33.29,4500.0,4500.0,17.0,1494.0,1494.0,838.0,134.0,166.0,166.0,166.0,134.0,134.0,230.0,182.0,134.0,166.0,134.0,470.0,486.0
192.168.10.150,192.168.10.30,49266.0,1883.0,6.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
192.168.10.135,131.130.37.53,49666.0,22.0,6.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0,106.0,70.0,106.0
192.168.10.150,208.115.231.210,60325.0,443.0,6.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0,64.0,70.0
192.168.10.135,3.127.6.122,48164.0,443.0,6.0,479.0,256.0,114.0,70.0,70.0,70.0,70.0,479.0,256.0,70.0,114.0,70.0,70.0,70.0,479.0,278.0
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0,233.0,64.0,163.0
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
128.130.57.3,192.168.10.23,3000.0,39962.0,6.0,70.0,70.0,72.0,70.0,76.0,70.0,100.0,70.0,85.0,70.0,70.0,70.0,72.0,70.0,76.0,70.0
128.130.135.23,192.168.10.30,34240.0,1883.0,6.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.150,192.168.10.255,5513.0,5512.0,17.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0,98.0,70.0,122.0
128.130.135.23,192.168.10.30,39808.0,1883.0,6.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0,72.0,70.0,72.0
128.131.67.19,192.168.10.22,50414.0,22.0,6.0,154.0,138.0,64.0,138.0,64.0,138.0,64.0,154.0,138.0,64.0,138.0,64.0,138.0,154.0,138.0,64.0
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,1518.0,714.0
128.131.67.19,192.168.10.22,18928.0,22.0,6.0,122.0,64.0,122.0,64.0,122.0,122.0,64.0,122.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
192.168.10.23,34.117.65.55,58196.0,443.0,6.0,100.0,70.0,96.0,70.0,94.0,70.0,98.0,70.0,94.0,70.0,98.0,70.0,94.0,70.0,98.0,70.0
192.168.10.32,40.70.229.150,26668.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,64.0
192.168.10.32,52.179.216.235,26669.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,64.0
192.168.10.32,52.184.213.187,26670.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,712.0,64.0
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,546.0,548.0,482.0,562.0,534.0,491.0,491.0,534.0,562.0,482.0,548.0,546.0,548.0,546.0,482.0,562.0
